video_url,fingerprint,performance,status
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-621266003076530,8ce17d68c33f22c2dc0802457086914c,0.2689,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-620702145697389,b2c91a43f396415c36b2b8c96c47ef2f,1.2383,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-620154813059921,8ce17d68c33f22c2dc0802457086914c,1.2875,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-618555366744628,1962a43bf9e3bb7562886fbaa75d61e1,0.9139,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-6174004652651971,5a0d99f8d4f355988314043031d4f3cc,1.8351,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-617288786873081,3fca944ed7695fdb48ec9fccd3338b93,0.7379,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-6172742522782221,8ce17d68c33f22c2dc0802457086914c,0.3688,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-613417017284998,5a0d99f8d4f355988314043031d4f3cc,1.2673,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-613197413789434,69b0105e699b0cc847f7fe93e2a151ce,0.6284,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-613152173490344,1962a43bf9e3bb7562886fbaa75d61e1,1.541,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-612555930635832,5a0d99f8d4f355988314043031d4f3cc,1.1942,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-612426467555072,1962a43bf9e3bb7562886fbaa75d61e1,0.5582,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-611188517518682,3fca944ed7695fdb48ec9fccd3338b93,0.2946,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-6107397609317402,5a0d99f8d4f355988314043031d4f3cc,2.1881,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-6096104653784047,1962a43bf9e3bb7562886fbaa75d61e1,1.7413,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-606237444463640,1962a43bf9e3bb7562886fbaa75d61e1,1.1599,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-605272664726548,8ce17d68c33f22c2dc0802457086914c,1.4393,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-6046690562050296,8ce17d68c33f22c2dc0802457086914c,0.2606,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-604285914607200,cbe23b386bc15159230641213768076b,1.2,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-604041931565137,a462a75e344a546880c27832e8924146,1.5304,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-603099807587246,f30768bfc2f0dba17d41f30a7f36b65f,0.4917,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-911926190614858,359b1f5278e201674b3df2efad0d6cae,0.2123,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-911482386703699,5a0d99f8d4f355988314043031d4f3cc,1.887,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-911172609864769,8ce17d68c33f22c2dc0802457086914c,1.9529,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-910958533691058,1962a43bf9e3bb7562886fbaa75d61e1,0.8536,Processed
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-909937876815529,5a0d99f8d4f355988314043031d4f3cc,0.8701,Processed
